KEY,English,PortugueseBR,SpanishLA
MenuSubtitle,Connect matching colours. Fill every cell.,Ligue as cores iguais. Preencha cada célula.,Une los colores iguales. Llena cada celda.
MenuNavLabel,GAME MENUS,MENUS DO JOGO,MENÚS DEL JUEGO
MenuDailyRewards,DAILY SPARKS,FAÍSCAS DIÁRIAS,CHISPAS DIARIAS
MenuDailyQuests,DAILY JOBS,TAREFAS DIÁRIAS,TAREAS DIARIAS
MenuStats,RECORD,REGISTRO,REGISTRO
MenuSettings,SETTINGS,OPÇÕES,AJUSTES
ButtonPlay,PLAY,JOGAR,JUGAR
ButtonBack,BACK,VOLTAR,ATRÁS
ButtonDone,DONE,PRONTO,LISTO
ButtonTest,TEST,TESTAR,PROBAR
PlayerSummary,PLAYER SUMMARY,RESUMO DO JOGADOR,RESUMEN DEL JUGADOR
LabelBest,BEST,MELHOR,MEJOR
LabelDay,DAY,DIA,DÍA
LoadingCopy,POWERING UP…,LIGANDO…,ENCENDIENDO…
Paused,PAUSED,PAUSADO,EN PAUSA
PausedEyebrow,THE BOARD WAITS,O TABULEIRO ESPERA,EL TABLERO ESPERA
PausedResume,TAP TO RESUME,TOQUE PARA CONTINUAR,TOCA PARA CONTINUAR
ResultsDoubled,DOUBLED,DOBRADO,DUPLICADO
AdLoading,LOADING…,CARREGANDO…,CARGANDO…
AdUnavailable,NO VIDEO AVAILABLE RIGHT NOW,NENHUM VÍDEO DISPONÍVEL AGORA,NINGÚN VIDEO DISPONIBLE AHORA
PaletteSelect,SELECT,SELECIONAR,SELECCIONAR
PaletteSelected,IN USE,EM USO,EN USO
Owned,OWNED,ADQUIRIDO,ADQUIRIDO
PurchaseWorking,OPENING CHECKOUT…,ABRINDO PAGAMENTO…,ABRIENDO PAGO…
PurchaseConfirmed,UNLOCKED — THANK YOU,DESBLOQUEADO — OBRIGADO,DESBLOQUEADO — GRACIAS
PurchaseCancelled,PURCHASE CANCELLED,COMPRA CANCELADA,COMPRA CANCELADA
PurchaseFailed,PURCHASE DID NOT COMPLETE,A COMPRA NÃO FOI CONCLUÍDA,LA COMPRA NO SE COMPLETÓ
PurchasePending,STILL CONFIRMING — WE WILL FINISH THIS NEXT TIME YOU OPEN THE GAME,AINDA CONFIRMANDO — TERMINAREMOS NA PRÓXIMA VEZ,AÚN CONFIRMANDO — LO TERMINAREMOS LA PRÓXIMA VEZ
PurchaseUnavailable,NOT AVAILABLE RIGHT NOW,INDISPONÍVEL AGORA,NO DISPONIBLE AHORA
KickerStats,YOUR BOARD,SEU TABULEIRO,TU TABLERO
StatsBody,Everything you have connected so far.,Tudo o que você conectou até agora.,Todo lo que has conectado hasta ahora.
KickerDailyRewards,RETURN LOOP,VOLTE SEMPRE,VUELVE PRONTO
DailyRewardsBody,A handful of sparks for every day you come back.,Algumas faíscas por cada dia que você volta.,Unas chispas por cada día que vuelves.
KickerDailyQuests,TODAY'S ORDER,PEDIDO DE HOJE,PEDIDO DE HOY
DailyQuestsBody,Three jobs a day. They reset with the trusted clock.,Três tarefas por dia. Reiniciam com o relógio confiável.,Tres tareas al día. Se reinician con el reloj confiable.
Claimed,CLAIMED,RECEBIDO,RECLAMADO
ClaimedToday,CLAIMED TODAY,RECEBIDO HOJE,RECLAMADO HOY
InProgress,IN PROGRESS,EM ANDAMENTO,EN PROGRESO
Saving,SAVING…,SALVANDO…,GUARDANDO…
LocalClaimNote,Local-browser claims persist for development but are never presented as RUN-authoritative.,"Recompensas locais persistem para desenvolvimento, mas nunca são apresentadas como oficiais da RUN.","Los reclamos locales persisten para desarrollo, pero nunca se presentan como oficiales de RUN."
KickerSettings,COMFORT + ACCESS,CONFORTO + ACESSO,COMODIDAD + ACCESO
SettingsMusic,AMBIENCE,AMBIENTE,AMBIENTE
SettingsMusicVolume,AMBIENCE VOLUME,VOLUME DO AMBIENTE,VOLUMEN DEL AMBIENTE
SettingsSfx,SOUND EFFECTS,EFEITOS SONOROS,EFECTOS DE SONIDO
SettingsSfxVolume,EFFECTS VOLUME,VOLUME DOS EFEITOS,VOLUMEN DE EFECTOS
SettingsHaptics,HAPTICS,VIBRAÇÃO,VIBRACIÓN
SettingsReducedMotion,REDUCED MOTION,MOVIMENTO REDUZIDO,MOVIMIENTO REDUCIDO
SettingsNotifications,REMINDERS,LEMBRETES,RECORDATORIOS
SettingsLanguage,LANGUAGE,IDIOMA,IDIOMA
SettingsQuality,EFFECTS DETAIL,DETALHE DOS EFEITOS,DETALLE DE EFECTOS
SettingsLow,LOW,BAIXO,BAJO
SettingsHigh,HIGH,ALTO,ALTO
SettingsUnavailable,NOT SUPPORTED ON THIS DEVICE,NÃO SUPORTADO NESTE APARELHO,NO COMPATIBLE CON ESTE DISPOSITIVO
